BBC News, https://feeds.bbci.co.uk/news/rss.xml
The Register, https://www.theregister.com/headlines.atom
New York Times, https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
CNN, http://rss.cnn.com/rss/cnn_topstories.rss
Huffington Post, https://www.huffpost.com/section/front-page/feed?x=1
Fox News, https://feeds.feedburner.com/foxnews/latest
USA Today, http://rssfeeds.usatoday.com/UsatodaycomNation-TopStories
LifeHacker, https://lifehacker.com/rss
Politico, http://www.politico.com/rss/politicopicks.xml
Yahoo News, https://www.yahoo.com/news/rss
NPR, https://feeds.npr.org/1001/rss.xml
Los Angeles Times, https://www.latimes.com/local/rss2.0.xml
The Guardian, https://www.theguardian.com/uk/rss
NASA Breaking News, https://www.nasa.gov/rss/dyn/breaking_news.rss
